CNPJ_FUNDO;DT_COMPTC;VL_QUOTA;VL_PATRIM_LIQ
14.386.926/0001-71;02/05/2023;2,876936;7001906765
14.386.926/0001-71;03/05/2023;2,87938;6999868216
14.386.926/0001-71;04/05/2023;2,885683;7014514333
14.386.926/0001-71;05/05/2023;2,888631;7019888572
14.386.926/0001-71;08/05/2023;2,892105;7029676187
14.386.926/0001-71;09/05/2023;2,89128;7026356610
14.386.926/0001-71;10/05/2023;2,892839;7029633732
14.386.926/0001-71;11/05/2023;2,892293;7028208958
14.386.926/0001-71;12/05/2023;2,89301;7027833842
14.386.926/0001-71;15/05/2023;2,894696;7032150697
14.386.926/0001-71;16/05/2023;2,893001;6983752116
14.386.926/0001-71;17/05/2023;2,887086;6960346537
14.386.926/0001-71;18/05/2023;2,883263;6948997223
14.386.926/0001-71;19/05/2023;2,882698;6808962847
14.386.926/0001-71;22/05/2023;2,879701;6801797473
14.508.605/0001-00;02/05/2023;2,632776;1366600807
14.508.605/0001-00;03/05/2023;2,639024;1368601675
14.508.605/0001-00;04/05/2023;2,645471;1009814694
14.508.605/0001-00;05/05/2023;2,647633;1006488505
14.508.605/0001-00;08/05/2023;2,647222;1006880126
14.508.605/0001-00;09/05/2023;2,645365;1007174019
14.508.605/0001-00;10/05/2023;2,649791;1010856602
14.508.605/0001-00;11/05/2023;2,65661;1013159521
14.508.605/0001-00;12/05/2023;2,658918;1014239477
14.508.605/0001-00;15/05/2023;2,664469;1019357024
14.508.605/0001-00;16/05/2023;2,66309;1019458167
14.508.605/0001-00;17/05/2023;2,661387;1103084472
14.508.605/0001-00;18/05/2023;2,664291;1119209468
14.508.605/0001-00;19/05/2023;2,664332;1127352096
14.508.605/0001-00;22/05/2023;2,664854;1137955728
14.550.994/0001-24;02/05/2023;1,4583218;285849427
14.550.994/0001-24;03/05/2023;1,4582803;285840335,7
14.550.994/0001-24;04/05/2023;1,4660111;287355184,5
14.550.994/0001-24;05/05/2023;1,5039757;294795668,7
14.550.994/0001-24;08/05/2023;1,5127398;296512798
14.550.994/0001-24;09/05/2023;1,5226187;298447024
14.550.994/0001-24;10/05/2023;1,5282046;299506106,6
14.550.994/0001-24;11/05/2023;1,5430971;302423054,4
14.550.994/0001-24;12/05/2023;1,5414598;302099803,1
14.550.994/0001-24;15/05/2023;1,5502896;303830218,2
14.550.994/0001-24;16/05/2023;1,5400584;301824147,1
14.550.994/0001-24;17/05/2023;1,5575248;305246508,6
14.550.994/0001-24;18/05/2023;1,5685833;307413596,4
14.550.994/0001-24;19/05/2023;1,5786006;309672847,1
14.550.994/0001-24;22/05/2023;1,5681501;307622561,4
15.486.093/0001-83;02/05/2023;3,011752699;4176764527
15.486.093/0001-83;03/05/2023;3,013131413;4178676558
15.486.093/0001-83;04/05/2023;3,014747893;4180918328
15.486.093/0001-83;05/05/2023;3,016335779;4183124261
15.486.093/0001-83;08/05/2023;3,01790089;4185294794
15.486.093/0001-83;09/05/2023;3,019501839;4187515027
15.486.093/0001-83;10/05/2023;3,020833721;4189362111
15.486.093/0001-83;11/05/2023;3,021987217;4190961806
15.486.093/0001-83;12/05/2023;3,0257322;4196155436
15.486.093/0001-83;15/05/2023;3,027879987;4199134036
15.486.093/0001-83;16/05/2023;3,029396655;2073598812
15.486.093/0001-83;17/05/2023;3,03091212;615395852,5
15.486.093/0001-83;18/05/2023;3,03242182;459395075,4
15.486.093/0001-83;19/05/2023;3,033931193;386412905,6
15.486.093/0001-83;22/05/2023;3,035439442;343229160,8
17.138.474/0001-05;02/05/2023;29,824262;1600301799
17.138.474/0001-05;03/05/2023;29,8423301;1594969890
17.138.474/0001-05;04/05/2023;29,8539079;1584946891
17.138.474/0001-05;05/05/2023;29,8694015;1582413832
17.138.474/0001-05;08/05/2023;29,8775129;1581324168
17.138.474/0001-05;09/05/2023;29,8873952;1578428802
17.138.474/0001-05;10/05/2023;29,9018938;1577656520
17.138.474/0001-05;11/05/2023;29,9212339;1576830915
17.138.474/0001-05;12/05/2023;29,9365353;1575745325
17.138.474/0001-05;15/05/2023;29,9571911;1568668757
17.138.474/0001-05;16/05/2023;29,9730192;1528229363
17.138.474/0001-05;17/05/2023;29,9923912;1509031889
17.138.474/0001-05;18/05/2023;30,0095601;1502049157
17.138.474/0001-05;19/05/2023;30,0374712;1501462056
17.138.474/0001-05;22/05/2023;30,0587327;1500187050
20.139.595/0001-78;02/05/2023;1,63000097;3562730210
20.139.595/0001-78;03/05/2023;1,62950265;3561641023
20.139.595/0001-78;04/05/2023;1,63122002;3565394711
20.139.595/0001-78;05/05/2023;1,63123437;3573898644
20.139.595/0001-78;08/05/2023;1,63215601;3580528057
20.139.595/0001-78;09/05/2023;1,63294323;3583225014
20.139.595/0001-78;10/05/2023;1,63366432;3590807340
20.139.595/0001-78;11/05/2023;1,63285144;3589020625
20.139.595/0001-78;12/05/2023;1,63238301;3593989202
20.139.595/0001-78;15/05/2023;1,63265211;3596645914
20.139.595/0001-78;16/05/2023;1,63200363;3595217333
20.139.595/0001-78;17/05/2023;1,62956744;3593038859
20.139.595/0001-78;18/05/2023;1,6278989;3589359887
20.139.595/0001-78;19/05/2023;1,62788718;3593671036
20.139.595/0001-78;22/05/2023;1,62868183;3595425281
21.838.150/0001-49;02/05/2023;21,43355;1970406629
21.838.150/0001-49;03/05/2023;21,487787;1975662756
21.838.150/0001-49;04/05/2023;21,558678;1982180769
21.838.150/0001-49;05/05/2023;21,594617;1980640237
21.838.150/0001-49;08/05/2023;21,59344;1980544839
21.838.150/0001-49;09/05/2023;21,570997;1978100281
21.838.150/0001-49;10/05/2023;21,611089;1989762030
21.838.150/0001-49;11/05/2023;21,668009;1995022426
21.838.150/0001-49;12/05/2023;21,698956;1997871745
21.838.150/0001-49;15/05/2023;21,749733;2007975637
21.838.150/0001-49;16/05/2023;21,726665;2019947424
21.838.150/0001-49;17/05/2023;21,715924;2020135783
21.838.150/0001-49;18/05/2023;21,732177;2030572138
21.838.150/0001-49;19/05/2023;21,741319;2034010851
21.838.150/0001-49;22/05/2023;21,723174;2031911254
23.215.097/0001-55;02/05/2023;1,745157;5048589897
23.215.097/0001-55;03/05/2023;1,747061;5057444172
23.215.097/0001-55;04/05/2023;1,749085;5063180619
23.215.097/0001-55;05/05/2023;1,75018;5062616407
23.215.097/0001-55;08/05/2023;1,750699;5068121658
23.215.097/0001-55;09/05/2023;1,750954;5066796720
23.215.097/0001-55;10/05/2023;1,752768;5082517250
23.215.097/0001-55;11/05/2023;1,755663;5082913441
23.215.097/0001-55;12/05/2023;1,757155;5087229502
23.215.097/0001-55;15/05/2023;1,760262;5090657972
23.215.097/0001-55;16/05/2023;1,759686;5025235242
23.215.097/0001-55;17/05/2023;1,758979;5023454280
23.215.097/0001-55;18/05/2023;1,760577;5046208680
23.215.097/0001-55;19/05/2023;1,760571;5040385203
23.215.097/0001-55;22/05/2023;1,760927;5037544154
24.571.992/0001-75;02/05/2023;19,899778;1470910499
24.571.992/0001-75;03/05/2023;19,859263;1464915461
